Date,Mean_Temperature,Max_Temperature,Min_Temperature,Heating_Degree_Days,Dew_Point, Average_Humidity, Max_Humidity, Minimum_Humidity, Precipitation, Sea_Level_Pressure, Average_Wind_Speed, Maximum_Wind_Speed, Visibility, Events
2013/1/1,6,7,3,23,-2,58,70,45,0.00,1015,10,24,16,
2013/1/2,2,4,-1,30,-8,51,64,38,0.00,1020,15,29,16,
2013/1/3,1,3,-1,31,-8,53,63,43,0.00,1023,10,21,16,
2013/1/4,3,8,-3,28,-7,54,75,33,0.00,1022,12,34,16,
2013/1/5,4,8,-1,26,-6,49,64,34,0.25,1026,9,27,16,Rain
2013/1/6,7,11,2,22,-2,54,82,23,0.00,1020,11,21,16,
2013/1/7,6,9,1,23,-4,54,70,38,0.00,1028,12,29,16,
2013/1/8,6,12,-1,23,-1,65,85,44,0.00,1030,10,26,16,
2013/1/9,7,12,1,21,2,79,92,65,0.25,1028,5,26,16,Rain
2013/1/10,10,14,6,15,-3,42,53,30,0.00,1033,10,26,16,
2013/1/11,6,8,3,23,3,75,100,49,0.25,1025,4,14,9,Fog Rain
2013/1/12,8,11,6,18,6,90,100,80,0.00,1021,6,21,5,Fog
2013/1/13,9,13,6,16,8,96,100,92,T,1019,5,14,2,Fog Rain
2013/1/14,12,17,6,12,8,77,100,54,2.29,1020,16,34,12,Fog Rain
2013/1/15,4,6,3,25,2,85,93,76,20.07,1025,14,29,8,Rain
2013/1/16,4,6,3,25,2,87,92,82,7.37,1017,9,27,13,Rain
2013/1/17,6,8,4,22,1,75,96,53,0.25,1019,11,27,16,Rain
2013/1/18,2,4,-1,29,-8,46,64,27,0.00,1029,19,47,16,
2013/1/19,7,12,1,21,-4,52,69,35,0.00,1024,22,34,16,
2013/1/20,10,17,3,15,-6,39,60,17,0.00,1014,19,39,16,
2013/1/21,4,8,0,25,-8,43,51,34,0.00,1015,16,42,16,
2013/1/22,-3,0,-7,39,-20,32,39,25,0.00,1022,25,47,16,
2013/1/23,-6,-2,-9,43,-18,40,53,26,T,1025,13,32,16,Snow
2013/1/24,-4,-2,-7,41,-12,57,84,29,0.76,1025,20,47,9,Snow
2013/1/25,-6,-4,-7,43,-13,56,77,35,0.51,1025,11,27,12,Snow
2013/1/26,-1,3,-4,34,-7,61,74,47,T,1024,9,27,16,Snow
2013/1/27,1,3,-3,32,-7,57,69,44,0.00,1034,11,19,16,
2013/1/28,4,8,1,25,-1,75,89,61,3.30,1026,15,29,11,Rain Snow
2013/1/29,13,21,5,10,7,68,89,47,0.00,1018,11,23,15,
2013/1/30,17,22,11,3,12,84,100,68,21.84,1005,22,37,14,Rain
2013/1/31,9,19,0,16,-1,61,90,31,7.11,1001,28,53,14,Rain
2013/2/1,-2,2,-6,36,-11,53,78,28,0.25,1017,21,50,13,Snow
2013/2/2,-3,1,-8,39,-9,61,85,36,0.51,1023,11,35,12,Snow
2013/2/3,-1,2,-3,34,-4,72,92,51,T,1013,8,39,13,Snow
2013/2/4,0,3,-3,33,-10,45,52,38,0.00,1017,11,32,16,
2013/2/5,3,6,1,27,-3,62,70,53,0.00,1013,7,14,16,
2013/2/6,6,9,1,23,-4,56,76,36,T,1022,13,37,15,Rain
2013/2/7,3,5,0,28,-4,61,70,51,0.00,1028,9,24,16,
2013/2/8,4,7,1,26,0,71,92,50,5.08,1013,20,52,13,Rain
2013/2/9,3,6,-1,28,-9,43,56,30,0.00,1023,28,56,16,
2013/2/10,2,8,-3,29,-8,48,69,27,0.00,1030,9,21,16,
2013/2/11,8,12,3,19,5,80,96,64,7.11,1014,15,29,10,Rain
2013/2/12,10,15,4,15,-3,57,86,27,0.00,1014,14,34,16,
2013/2/13,5,9,1,24,-1,67,85,49,4.83,1008,11,23,11,Rain Snow
2013/2/14,6,10,2,22,-2,64,89,39,0.00,1014,10,27,14,
2013/2/15,9,16,2,17,1,59,89,28,2.54,1016,14,45,15,Rain Snow
2013/2/16,3,5,1,28,-2,68,92,43,0.51,1014,16,35,16,Rain Snow
2013/2/17,-1,1,-3,35,-13,42,55,28,0.00,1015,27,47,16,
2013/2/18,0,6,-6,33,-13,36,50,22,0.00,1026,13,26,16,
2013/2/19,6,8,3,22,-1,64,83,44,2.03,1013,21,40,16,Rain
2013/2/20,1,5,-3,31,-11,41,48,33,0.00,1017,24,37,16,
2013/2/21,1,5,-4,32,-12,41,49,33,0.00,1024,20,35,16,
2013/2/22,1,2,-1,32,-5,65,82,47,1.52,1027,9,27,14,Rain Snow
